occurrences,term
75,combination of
75,played in
75,in five
75,season the
75,the central
75,having to
74,said tuesday
74,bay area
74,the art
74,sure that
74,control of
74,start to
74,case of
74,coming to
74,before it
74,see that
74,the little
74,of women
74,shortly after
74,for both
74,the wine
74,over and
74,that her
74,for four
74,said when
74,guilty to
74,getting the
74,much to
74,when was
74,more likely
74,is great
74,while he
74,who died
74,about people
74,makes it
74,world war
74,in row
74,who lives
74,you would
74,not so
74,you were
74,however the
73,the teams
73,been able
73,to consider
73,re election
73,re in
73,did it
73,northeast ohio
73,into his
73,to not
73,time with
73,thursday night
73,he came
73,far more
73,the proposed
73,natural gas
73,that made
73,why the
73,it didn
73,it said
73,and while
73,in large
73,something to
73,paid for
73,olive oil
73,as in
73,year it
73,road and
73,need for
73,up percent
73,that because
73,and by
73,it makes
73,the vote
73,all in
73,the vikings
73,is why
73,now he
73,ready for
73,the grand
73,are very
73,the plain
73,is set
73,to school
73,to break
73,taking the
73,was taken
72,the better
72,higher than
72,the change
72,get back
72,atlantic city
72,know it
72,for my
72,way the
72,game against
72,game at
72,way he
72,second in
72,association of
72,that my
72,finished with
72,to kill
72,the greatest
72,it at
72,not sure
72,the free
72,leaving the
72,life in
72,even with
72,one is
72,they didn
72,what she
72,the medical
72,has never
72,the army
72,the mid
72,but is
72,or percent
72,man was
72,to years
72,that an
72,to focus
72,but what
72,the cavs
72,was little
72,center of
72,he played
71,bank of
71,it more
71,in advance
71,still the
71,clear that
71,letter to
71,down from
71,and put
71,music and
71,students to
71,said after
71,hours of
71,ago and
71,up by
71,good news
71,the buckeyes
71,show the
71,winning the
71,time it
71,asked for
71,middle school
71,familiar with
71,you should
71,was never
71,he still
71,to pull
71,years after
71,take it
71,argued that
71,age of
71,the things
71,call for
71,to remain
71,the trial
71,made in
71,their children
71,love the
71,not even
71,by percent
71,the western
71,obama administration
71,her daughter
71,is part
71,was killed
71,the bench
71,this report
71,that its
71,three days
71,that includes
71,chance of
71,on jan
71,in response
71,was being
71,do something
71,change the
70,free agent
70,the numbers
70,to carry
70,the open
70,few weeks
70,in years
70,middle class
70,him on
70,the ninth
70,in america
70,the win
70,was really
70,then he
70,than that
70,the super
70,more and
70,wife and
70,the economic
70,time since
70,secretary of
70,this case
70,the the
70,first of
70,and found
70,in favor
70,what do
70,public safety
70,example of
70,the victims
70,office in
70,half the
70,law and
70,the information
70,collection of
70,for several
70,the lake
70,had two
70,are some
70,most recent
70,on both
70,to sit
70,next season
70,the schools
70,how we
70,anyone who
70,students in
70,on him
70,new year
70,have more
70,some time
70,turned out
70,in afghanistan
69,african american
69,and may
69,victory over
69,with me
69,the bridge
69,from that
69,and family
69,than they
69,the key
69,the total
69,these days
69,day to
69,but don
69,the record
69,comes from
69,could do
69,outside of
69,the drug
69,the land
69,night and
69,gave the
69,in newark
69,could get
69,that time
69,if she
69,of students
69,to perform
69,reason for
69,of cleveland
69,in oregon
69,of california
69,and did
69,give up
69,the spring
69,to eat
69,not an
69,city officials
69,and take
69,to face
69,goal is
69,the arts
69,his last
69,and federal
69,looked at
69,and say
69,starting to
69,the financial
69,ve seen
69,team to
69,the streets
69,above the
69,degree in
69,friday and
68,appeared in
68,thank you
68,this spring
68,car and
68,love to
68,company that
68,not for
68,is trying
68,and let
68,beginning of
68,and down
68,took over
68,his way
68,which includes
68,has done
68,cause of
68,southern california
68,people of
68,can have
68,law that
68,just before
68,said its
68,that doesn
68,today the
68,the black
68,first and
68,guy who
68,worked with
68,the role
68,entered the
68,would take
68,is how
68,he knows
68,for long
68,in games
