occurrences,term
187,about what
187,just watched
187,don miss
187,good idea
186,the beach
186,the moment
186,are my
186,for today
186,matter what
186,down and
186,into my
186,another day
186,this guy
186,not so
186,it about
186,sort of
186,me what
186,but no
185,to wear
185,the entire
185,lack of
185,to celebrate
185,it lol
185,miss my
185,and on
185,that right
185,been to
185,when my
185,that has
185,on youtube
185,to figure
185,to spend
185,to pay
185,don wanna
184,goes to
184,is looking
184,list of
184,the final
184,and good
184,would make
184,out here
184,why the
184,us out
184,to end
184,it right
184,do anything
184,gotta get
183,why did
183,you come
183,doing it
183,was not
183,just because
183,working with
183,yes we
183,in her
183,on what
182,just found
182,you haven
182,you with
182,my parents
182,the point
182,lol rt
182,was my
182,it off
182,what does
182,you as
182,work out
181,now have
181,was there
181,the song
181,day off
181,may th
181,to some
181,can sleep
181,what great
181,spring break
181,lets go
181,that awesome
181,one in
181,people that
181,believe it
181,tonight and
181,us in
181,don worry
181,must have
180,home from
180,the red
180,that how
180,put it
180,cinco de
180,work in
180,happy easter
179,if so
179,so sad
179,congratulations to
179,stuck in
179,it wasn
179,be nice
179,she said
179,well that
179,loved it
179,if that
179,why does
179,at school
178,and this
178,she has
178,time of
178,tomorrow is
178,you enjoyed
177,hate it
177,in touch
177,find the
177,go with
177,more followers
177,willing to
177,use it
177,they need
177,doing the
177,the lakers
177,in order
177,be better
176,us and
176,you not
176,my baby
176,will follow
176,is our
176,good job
176,was amazing
176,wait until
176,up this
175,feel so
175,off of
175,game of
175,way you
175,making me
175,the library
175,and there
175,free to
175,send you
175,for years
175,against the
175,rt this
175,when are
175,will take
175,in dc
174,ask for
174,in days
174,let it
174,come see
174,following you
174,but there
174,or is
174,decided to
174,the face
174,come true
174,things that
174,but now
174,too late
174,have your
174,just need
173,do they
173,any other
173,vote for
173,that your
173,it does
173,the little
173,sold out
173,don understand
173,thankful for
173,so long
173,out this
173,you live
173,here and
173,re all
173,think so
173,he just
173,as they
173,see this
172,as soon
172,de mayo
172,little bit
172,to new
172,your head
172,to not
172,you said
172,can only
172,hear it
172,that awkward
172,one that
172,gonna get
172,am the
172,not really
172,me how
171,you rt
171,in while
171,off my
171,make your
171,tune in
171,more like
171,just not
171,on top
171,on some
170,across the
170,may not
170,we know
170,wait till
170,re doing
170,what can
170,the nd
170,hanging out
170,not too
169,forgot to
169,be done
169,it always
169,with them
169,he got
169,miss the
169,meant to
169,was that
169,but when
169,like they
169,everything is
168,long day
168,keep your
168,me off
168,of her
168,remember the
168,read it
168,many of
168,go get
168,is why
168,see me
167,have more
167,you won
167,fuck you
167,just realized
167,but what
167,stay in
167,in few
167,to thank
167,at that
167,bring it
166,the story
166,hip hop
166,number of
166,to his
166,that and
166,plenty of
166,they should
166,but am
166,piece of
166,for tonight
166,like we
166,hard work
166,help us
166,just be
166,is being
166,their own
165,your name
165,to add
165,are now
165,come up
165,shoutout to
165,will see
165,it hard
165,who will
165,ill be
165,im gonna
165,to feel
164,proud to
164,tickets to
164,ask me
164,for next
164,worry about
164,and watch
164,what kind
164,you gotta
164,in vegas
164,of fun
164,such an
164,with him
164,didn have
164,to lose
164,im going
164,my room
163,easy to
163,you when
163,he did
163,over to
163,too long
163,to them
163,bit of
163,sitting in
163,hear the
163,along with
163,more days
163,the ball
162,not only
162,what if
162,like he
162,week of
162,and follow
162,today we
162,now the
162,please please
162,person who
162,the twitter
162,good at
161,it rt
161,that to
161,who the
161,tuned for
161,to finish
161,how we
161,re just
161,dont have
161,for tomorrow
161,amount of
161,why can
161,are they
161,why am
160,are very
160,such great
160,my love
160,are looking
160,as if
160,thanks again
160,they just
160,who have
160,hell yeah
160,was at
160,its been
160,and im
160,how does
159,anyone have
159,been in
159,with his
159,one to
159,the money
159,something that
159,everyone else
159,that don
159,hate the
159,take me
159,yeah it
159,the work
159,the party
159,my daughter
159,show at
159,really don
158,to those
158,version of
158,and take
158,get one
158,tons of
158,to miss
158,behind the
158,remember that
158,and great
158,the news
158,make up
158,on an
158,so the
158,your mind
157,it if
157,that so
157,but ll
157,use to
157,its the
157,if she
157,but this
157,and enjoy
156,up early
156,last tweet
156,your mom
156,my ass
156,copy of
156,this world
156,said that
156,more info
156,the boys
156,be awesome
156,not my
156,for while
156,way of
156,hope that
156,in school
156,to wait
156,love love
156,hours of
156,see your
156,get there
156,just wanna
156,that too
156,is right
156,no no
155,the nba
155,agree with
155,world is
155,love for
155,him and
155,coming back
155,an old
155,the state
155,just as
155,go follow
155,they want
155,change the
155,very cool
155,very good
154,that there
154,while you
154,until you
154,the difference
154,told you
154,not at
154,up your
154,that when
154,this evening
154,not being
154,the sky
154,ability to
154,good times
154,do for
154,just so
154,are always
154,ever seen
154,even more
154,hear you
154,believe that
154,be up
154,have that
153,have not
153,your face
153,but love
153,but she
153,waking up
153,good and
153,so sorry
153,at and
153,man is
153,let do
153,your business
153,love them
153,we did
153,are having
153,missed you
152,got that
152,there and
152,you out
152,to hang
152,know we
152,was really
152,or just
152,me want
152,on all
152,reminds me
152,not as
152,be one
151,feel the
151,to their
151,the floor
151,now to
151,over here
151,continue to
151,should go
151,the nfl
151,not like
151,act like
150,food and
150,had good
150,both of
150,why would
150,new song
150,keep the
150,this girl
150,now but
150,it gets
150,get better
150,out that
150,other people
150,yes yes
150,fun to
149,well done
149,music video
149,that great
149,because he
149,it or
